X,Y,OBJECTID,Texto
-674892.017900001,4403459.5715,1,Aeropuerto de Jerez
-960741.881000001,5194854.3614,2,Aeropuerto de Vigo
-759323.6655,4705905.0444,3,Aeropuerto de Badajoz
-420633.237799998,4465180.0043,4,Aeropuerto de Granada - Jaén F.G.L.
-263964.537099998,4417493.3061,5,Aeropuerto de Almería
-612586.170899998,5005081.084,6,Aeropuerto de Salamanca 
152804.814800002,4703689.522,7,Aeropuerto de Ibiza
-1514503.916,3369416.5773,8,Aeropuerto de Lanzarote
-1976327.6403,3327633.1163,9,Aeropuerto de La Palma
-1819810.8122,3310362.699,10,Aeropuerto de Tenerife Norte 
-1916027.703,3252903.2965,11,Aeropuerto de La Gomera
-1845154.6577,3254709.968,12,Aeropuerto de Tenerife Sur 
-1712883.5016,3240291.2707,13,Aeropuerto de Gran Canaria
-1991166.6152,3225649.4689,14,Aeropuerto de El Hierro
-671547.999200001,5397939.1202,15,Aeropuerto de Asturias
-539705.187600002,5117491.2276,16,Aeropuerto de Valladolid
-425553.9036,5377062.1386,17,Santander-Seve Ballesteros
-199440.652600002,5366379.3011,18,Aeropuerto de San Sebastián
-323756.921599999,5358130.3614,19,Aeropuerto de Bilbao
-539559.672400001,4557393.1215,20,Aeropuerto de Córdoba
-932579.217799999,5358162.678,21,Aeropuerto de A Coruña
-398113.992699999,4937709.7519,22,Aeropuerto de Adolfo Suárez Madrid - Barajas
-207406.421300001,4714459.7084,23,Aeropuerto de Albacete
-605664.451499999,4318359.7228,24,Helipuerto de Algeciras
-62711.6697999984,4619882.5203,25,Aeropuerto de Alicante - Elche
232103.953000002,5056144.904,26,Aeropuerto de Barcelona - El prat
-403164.1558,5214205.0463,27,Aeropuerto de Burgos
-590686.955899999,4285826.1604,28,Helipuerto de Ceuta
-1543578.1603,3305899.7114,29,Aeropuerto de Fuerteventura
307662.1587,5146151.2147,30,Aeropuerto de Girona - Costa Brava
-35358.7397999987,5172463.9101,31,Aeropuerto de Huesca Pirineos
-629451.971500002,5249746.4755,32,Aeropuerto de León
-257958.138300002,5230075.0988,33,Aeropuerto de Logroño - Agoncillo
-421355.7764,4919947.9561,34,Aeropuerto de Madrid - Cuatro vientos
-500570.3532,4394084.0247,35,Aeropuerto de Málaga - Costa del Sol
-329053.1668,4201892.6734,36,Aeropuerto de Melilla
469922.521000002,4846268.9096,37,Aeropuerto de Menorca
-90946.3471999988,4547418.2036,38,Aeropuerto de Murcia - San Javier
304105.374200001,4800744.3772,39,Aeropuerto de Palma de Mallorca
-182872.765700001,5276286.8826,40,Aeropuerto de Pamplona
128964.191,5033973.1909,41,Aeropuerto de Reus
234304.333000001,5089495.0183,42,Aeropuerto de Sabadell
-937083.1327,5296371.4663,43,Aeropuerto de Santiago
-656631.7819,4497777.0086,44,Aeropuerto de Sevilla
301149.739100002,4808197.9795,45,Aeropuerto de Son Bonet
-53491.3762000017,4792244.6203,46,Aeropuerto de Valencia
-304031.1358,5293596.5813,47,Aeropuerto de Vitoria
-118037.492699999,5111756.4276,48,Aeropuerto de Zaragoza
