aeropuerto,vuelos_salidas,vuelos_llegadas,vuelos_redirigidos_recibidos,vuelos_redirigidos_salientes,retraso_medio_llegadas_min,retraso_p95_llegadas_min,combustible_total_l,tiempo_espera_total_min
ACE,609,398,0,0,23.861169113289517,43.89613830530797,4874910.49752398,0.0
AEI,8,8,0,0,25.16143363792594,26.38840044440567,11488.743355721981,0.0
AGP,897,600,0,0,29.40554700218076,45.386438503603486,7097651.462502373,3.3415034665849817
ALC,558,350,0,0,25.387723563141595,38.011093029189944,3069701.2311856784,0.0
BCN,3101,2246,0,0,29.00956774027999,56.22860538102668,26048802.008795373,342.1622397088272
BIO,821,560,0,0,24.055152034672222,44.803308228563395,6413635.913219666,0.0
BJZ,19,8,0,0,20.47546968266097,27.937041220161337,77890.13695487498,0.0
EAS,103,41,0,0,26.10170933519634,64.84737107158435,474358.2645216308,0.0
FUE,429,259,0,0,22.003149784062533,39.50979749298639,3071926.9287176747,0.0
GMZ,16,26,0,0,21.031837888270054,23.5007457347092,34876.84759751869,0.0
GRO,1,2,0,0,16.739772905717473,21.989595322988134,12033.121917240744,0.0
GRX,227,126,0,0,28.539107460108966,51.21777800538689,1366043.9411095132,0.0
IBZ,767,486,0,0,21.71852997182494,30.757968782652824,3317985.530269592,0.0
JCU,15,15,0,0,22.783947275589647,26.11333630838326,22342.872310291314,0.0
LCG,243,125,0,0,21.960219255322286,38.84655767311158,1258437.0477251715,0.0
LEI,98,51,0,0,22.021690457473774,30.0235642619773,307111.278411419,0.0
LEN,5,9,0,0,39.13138793913236,61.84594984635114,85298.55772257794,0.0
LPA,1631,1086,0,0,31.797980948217543,63.2807230204462,17740787.29540265,59.46353155432189
MAD,3820,2982,0,0,32.57104443703751,58.54502446262404,38852346.08960794,476.1222127981634
MAH,447,278,0,0,23.72567022125173,34.13757541823816,1689827.7868127131,0.0
MLN,109,80,0,0,20.583291749222305,23.77017198353169,293924.30953536864,0.0
OVD,314,204,0,0,28.533953358810958,52.04590962898655,2549301.6049639564,0.0
PMI,1959,1292,0,0,24.97290008943226,36.77350245528197,12426669.157684758,29.736143791260474
PNA,43,14,0,0,22.54971347020192,45.57946124464633,227091.57444269117,0.0
RGS,1,0,0,0,,,3367.6913586470164,0.0
RJL,3,0,0,0,,,4533.491359898042,0.0
SCQ,580,423,0,0,33.26771292273749,57.052986649384806,6019857.628992139,0.0
SDR,106,76,0,0,23.20439087183963,44.90713203103314,538034.5240607403,0.0
SLM,3,2,0,0,27.359361798131886,29.446846010481977,20075.51193447642,0.0
SPC,262,207,0,1,21.28131589644133,34.45748157098549,973726.0568661068,0.0
SVQ,981,676,0,0,24.75568856359455,36.89354736984069,6693214.109011568,0.0
TFN,1430,1023,1,0,29.141471688271583,57.43491801414602,13282844.55053353,44.42364696991672
TFS,256,151,0,0,28.139944977816384,49.7233310946408,2753525.940752695,0.0
VDE,74,50,0,0,19.6265677369892,22.8940037348264,137287.98799645866,0.0
VGO,197,86,0,0,24.453608137828237,39.1756811571359,1028714.7258241014,0.0
VIT,35,33,0,0,26.635135517704082,34.51135849323591,209717.12347015043,0.0
VLC,627,428,0,0,26.432508402182325,41.24080017893266,4066421.911616372,0.0
VLL,33,34,0,0,26.883498413010464,45.75831925976822,308168.86077450466,0.0
XRY,109,53,0,0,21.31980399361998,32.47993630488418,605124.3024454582,0.0
ZAZ,63,33,0,0,22.78403646884961,32.832966944525445,308761.91022539465,0.0
